Time;el_load;prec;temp;rhum;grad;pres;wind;Vel_tviz;Bal_tviz;holiday;weekend;covid
2017-07-18 18:00:00;5191.393;0.0;26.690384615384616;40.38834951456311;29.333333333333332;1017.9638888888888;1.5564356435643563;22.2;25.4;0.0;0.0;0.0
2017-07-18 19:00:00;5121.784;0.0;23.46057692307692;51.8252427184466;1.9333333333333331;1018.3722222222223;1.202970297029703;22.8;25.2;0.0;0.0;0.0
2017-07-18 20:00:00;5145.212;0.0;20.959615384615386;59.699029126213595;0.0;1018.813888888889;1.0465346534653466;23.0;24.9;0.0;0.0;0.0
2017-07-18 21:00:00;4859.931;0.0;19.45;64.89320388349515;0.0;1018.9472222222222;0.9653465346534652;22.8;24.5;0.0;0.0;0.0
2017-07-18 22:00:00;4630.204;0.0;18.39326923076923;68.52427184466019;0.0;1018.9722222222222;1.003960396039604;22.7;24.9;0.0;0.0;0.0
2017-07-18 23:00:00;4280.69;0.0;17.558653846153845;71.57281553398059;0.0;1019.0111111111112;0.9544554455445545;22.6;24.7;0.0;0.0;0.0
2017-07-19 00:00:00;4040.454;0.0;16.885576923076922;73.71844660194175;0.0;1018.9499999999999;0.9930693069306931;22.5;24.7;0.0;0.0;0.0
2017-07-19 01:00:00;3821.155;0.0;16.262499999999996;75.77669902912622;0.0;1018.9055555555556;0.9396039603960396;22.2;24.5;0.0;0.0;0.0
2017-07-19 02:00:00;3757.646;0.0;15.59807692307692;78.16504854368932;0.0;1018.5472222222221;0.9910891089108911;22.3;24.4;0.0;0.0;0.0
2017-07-19 03:00:00;3806.879;0.0;15.116346153846154;80.11650485436893;0.025925925925925925;1018.3972222222221;1.0594059405940595;22.1;24.2;0.0;0.0;0.0
2017-07-19 04:00:00;3965.421;0.0;15.06826923076923;79.66990291262135;8.488888888888889;1018.4277777777778;1.1079207920792078;22.0;24.0;0.0;0.0;0.0
2017-07-19 05:00:00;4556.61;0.0;17.16826923076923;73.11650485436893;49.1;1018.4749999999999;1.1376237623762377;22.2;23.9;0.0;0.0;0.0
2017-07-19 06:00:00;4971.874;0.0;20.616346153846152;60.89320388349515;106.28518518518518;1018.4138888888889;1.3237623762376236;22.2;23.9;0.0;0.0;0.0
2017-07-19 07:00:00;5140.376;0.0;23.588461538461537;51.38834951456311;171.037037037037;1018.261111111111;1.6742574257425742;22.3;23.8;0.0;0.0;0.0
2017-07-19 08:00:00;5311.494;0.0;25.986538461538462;44.05825242718446;228.1037037037037;1017.8583333333333;2.0851485148514852;22.6;23.8;0.0;0.0;0.0
2017-07-19 09:00:00;5452.836;0.0;27.846153846153847;38.41747572815534;276.24444444444447;1017.4388888888888;2.55049504950495;22.6;23.9;0.0;0.0;0.0
2017-07-19 10:00:00;5566.392;0.0;29.066346153846155;34.213592233009706;306.18148148148146;1016.9083333333334;2.9425742574257425;22.1;24.0;0.0;0.0;0.0
2017-07-19 11:00:00;5640.135;0.0;29.877884615384616;31.699029126213592;321.25555555555553;1016.3472222222222;2.9495049504950495;27.1;23.8;0.0;0.0;0.0
2017-07-19 12:00:00;5629.846;0.0;30.47211538461539;30.66990291262136;306.7;1015.7444444444445;2.9207920792079207;32.9;23.4;0.0;0.0;0.0
2017-07-19 13:00:00;5583.8;0.0;30.91826923076923;29.737864077669904;281.2481481481481;1015.1388888888889;2.753465346534654;23.7;24.0;0.0;0.0;0.0
2017-07-19 14:00:00;5607.703;0.0;31.164423076923075;29.25242718446602;240.92962962962963;1014.6194444444443;2.5831683168316837;24.0;24.3;0.0;0.0;0.0
2017-07-19 15:00:00;5533.123;0.0;31.158653846153847;29.33009708737864;194.57037037037037;1014.1611111111112;2.4089108910891093;24.5;24.9;0.0;0.0;0.0
2017-07-19 16:00:00;5457.065;0.0048543689320388345;30.764423076923077;30.563106796116504;137.84074074074076;1013.8805555555555;2.1801980198019804;24.7;25.3;0.0;0.0;0.0
2017-07-19 17:00:00;5371.195;0.0;29.896153846153844;33.95145631067961;75.24074074074075;1013.761111111111;1.7613861386138614;24.7;25.6;0.0;0.0;0.0
2017-07-19 18:00:00;5338.494;0.0;28.116346153846152;41.47572815533981;25.407407407407405;1013.6416666666667;1.3445544554455446;24.7;25.5;0.0;0.0;0.0
2017-07-19 19:00:00;5265.014;0.0;24.795192307692307;51.922330097087375;1.5777777777777777;1013.8916666666667;1.1633663366336633;24.6;25.4;0.0;0.0;0.0
2017-07-19 20:00:00;5296.753;0.0;22.48846153846154;58.96116504854369;0.0;1014.0749999999999;1.204950495049505;24.6;25.2;0.0;0.0;0.0
2017-07-19 21:00:00;5012.313;0.0;21.16346153846154;63.23300970873787;0.0;1014.0416666666666;1.2128712871287128;24.2;25.1;0.0;0.0;0.0
2017-07-19 22:00:00;4736.53;0.0;20.15961538461539;66.95145631067962;0.0;1013.8833333333334;1.199009900990099;24.3;24.9;0.0;0.0;0.0
2017-07-19 23:00:00;4392.038;0.0;19.24423076923077;70.27184466019418;0.0;1013.8027777777778;1.1940594059405942;24.2;25.0;0.0;0.0;0.0
